x,z
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-196.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
-195.05,22.0
